"id","date","name","holidays_id/id"
"ro_public_holidays_1","2015-01-01","Anul Nou - prima zi","hr_holidays_public_ro_2015"
"ro_public_holidays_2","2015-01-02","Anul Nou - a doua zi","hr_holidays_public_ro_2015"
"ro_public_holidays_3","2015-01-24","Unirea Principatelor","hr_holidays_public_ro_2015"
"ro_public_holidays_4","2015-04-12","Sfintele Paști - prima zi","hr_holidays_public_ro_2015"
"ro_public_holidays_5","2015-04-13","Sfintele Paști - a doua zi","hr_holidays_public_ro_2015"
"ro_public_holidays_6","2015-05-01","1 Mai","hr_holidays_public_ro_2015"
"ro_public_holidays_7","2015-05-31","Prima zi de Rusalii","hr_holidays_public_ro_2015"
"ro_public_holidays_8","2015-06-01","A doua zi de Rusalii","hr_holidays_public_ro_2015"
"ro_public_holidays_9","2015-08-15","Sfânta Maria","hr_holidays_public_ro_2015"
"ro_public_holidays_10","2015-11-30","Sfântul Andrei","hr_holidays_public_ro_2015"
"ro_public_holidays_11","2015-12-01","Ziua Națională","hr_holidays_public_ro_2015"
"ro_public_holidays_12","2015-12-25","Crăciunul - prima zi","hr_holidays_public_ro_2015"
"ro_public_holidays_13","2015-12-26","Crăciunul - a doua zi","hr_holidays_public_ro_2015"